rslsr,5,3,2,2,3,1,1,0.4,0.7462366
rsllrrs,7,5,2,2,2,1,2.5,0.2857143,0.5890937
rsllrsrrl,9,7,2,2,3,1,2.333333,0.2222222,0.5684588
rsllrssrrsl,11,7,4,3,4,1.333333,1.75,0.3636364,0.6673021
rsllrslrrsrsl,13,9,4,4,5,1,1.8,0.3076923,0.6467494
rsllrslsrrssrsl,15,9,6,5,6,1.2,1.5,0.4,0.7064516
rsllrslssrrsssrsl,17,9,8,5,6,1.6,1.5,0.4705882,0.7288425
rsllrslslrrsrsssrsl,19,11,8,6,7,1.333333,1.571429,0.4210526,0.7079149
rsllrslslsrrssrsssrsl,21,11,10,7,8,1.428571,1.375,0.4761905,-1
rsllrslslssrrsssrsssrsl,23,11,12,7,8,1.714286,1.375,0.5217391,-1
rsllrslsllrrsrssrsssrsl,23,13,10,7,8,1.428571,1.625,0.4347826,-1
rsllrslsllrrlrrsssrsssrsl,25,15,10,6,7,1.666667,2.142857,0.4,-1
rsllrsllrrsrssrsl,17,11,6,5,6,1.2,1.833333,0.3529412,0.6607
rsllrsllrrlrrsssrsl,19,13,6,4,5,1.5,2.6,0.3157895,0.5813356
rsllrsllrsrrlrssrsl,19,13,6,5,6,1.2,2.166667,0.3157895,0.6199019
rsllrsllrsrsrsssrsl,19,11,8,6,7,1.333333,1.571429,0.4210526,0.7079149
rsllrsllrlrrsrlrssrsl,21,15,6,5,6,1.2,2.5,0.2857143,-1
rsllrsllrlrrssrsssrsl,21,13,8,5,6,1.6,2.166667,0.3809524,-1
rsllrsllrlsrrssrlrssrsl,23,15,8,6,7,1.333333,2.142857,0.3478261,-1
rsllrsllrlsrrsssrsssrsl,23,13,10,6,7,1.666667,1.857143,0.4347826,-1
rsllrsllsrrssrssrsl,19,11,8,6,7,1.333333,1.571429,0.4210526,0.7079149
rsllrsllsrrslrrsssrsl,21,13,8,6,7,1.333333,1.857143,0.3809524,-1
rsllrsllsrrlrrlrssrsl,21,15,6,5,6,1.2,2.5,0.2857143,-1
rsllrsllsrrlrsrsssrsl,21,13,8,6,7,1.333333,1.857143,0.3809524,-1
rsllrsllsrsrrlsrssrsl,21,13,8,7,8,1.142857,1.625,0.3809524,-1
rsllrsllsrsrrllrrsssrsl,23,15,8,6,7,1.333333,2.142857,0.3478261,-1
rsllrsllsrsrsrlrssrsl,21,13,8,7,8,1.142857,1.625,0.3809524,-1
rsllrsllsrsrssrsssrsl,21,11,10,7,8,1.428571,1.375,0.4761905,-1
rsllrsllsrlrrsrlsrssrsl,23,15,8,7,8,1.142857,1.875,0.3478261,-1
rsllrsllsrlrrsrllrrsssrsl,25,17,8,6,7,1.333333,2.428571,0.32,-1
rsllrsllsrlrrssrlrssrsl,23,15,8,6,7,1.333333,2.142857,0.3478261,-1
rsllrsllsrlrrsssrsssrsl,23,13,10,6,7,1.666667,1.857143,0.4347826,-1
rsllrlrrsrl,11,9,2,2,3,1,3,0.1818182,0.5038123
rsllrlrrlrrsl,13,11,2,2,3,1,3.666667,0.1538462,0.4453819
rsllrlrsrrlrl,13,11,2,2,3,1,3.666667,0.1538462,0.4453819
rsllrlrsrsrsl,13,9,4,4,5,1,1.8,0.3076923,0.6467494
rsllrlrlrrsrlrl,15,13,2,2,3,1,4.333333,0.1333333,0.390681
rsllrlrlrrssrsl,15,11,4,3,4,1.333333,2.75,0.2666667,0.5521505
rsllrlrlsrrssrlrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.5031309
rsllrlrlsrrsssrsl,17,11,6,4,5,1.5,2.2,0.3529412,0.6265781
rsllrlrllrrsrssrlrl,19,15,4,3,4,1.333333,3.75,0.2105263,0.4574137
rsllrlrllrrsrsssrsl,19,13,6,4,5,1.5,2.6,0.3157895,0.5813356
rsllrlrllsrrssrssrlrl,21,15,6,4,5,1.5,3,0.2857143,-1
rsllrlrllsrrssrsssrsl,21,13,8,5,6,1.6,2.166667,0.3809524,-1
rsllrlrllssrrsssrssrlrl,23,15,8,4,5,2,3,0.3478261,-1
rsllrlrllssrrsssrsssrsl,23,13,10,5,6,2,2.166667,0.4347826,-1
rsllrlsrrssrl,13,9,4,3,4,1.333333,2.25,0.3076923,0.6059967
rsllrlsrrslrrsl,15,11,4,4,5,1,2.2,0.2666667,0.5995699
rsllrlsrrlrrlrl,15,13,2,2,3,1,4.333333,0.1333333,0.390681
rsllrlsrrlrsrsl,15,11,4,4,5,1,2.2,0.2666667,0.5995699
rsllrlsrsrrlsrl,15,11,4,4,5,1,2.2,0.2666667,0.5995699
rsllrlsrsrrllrrsl,17,13,4,4,5,1,2.6,0.2352941,0.5572169
rsllrlsrsrsrlrl,15,11,4,4,5,1,2.2,0.2666667,0.5995699
rsllrlsrsrssrsl,15,9,6,5,6,1.2,1.5,0.4,0.7064516
rsllrlsrlrrsrlsrl,17,13,4,4,5,1,2.6,0.2352941,0.5572169
rsllrlsrlrrsrllrrsl,19,15,4,4,5,1,3,0.2105263,0.5181664
rsllrlsrlrrssrlrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.5031309
rsllrlsrlrrsssrsl,17,11,6,4,5,1.5,2.2,0.3529412,0.6265781
rsllrlssrrsssrl,15,9,6,3,4,2,2.25,0.4,0.6306452
rsllrlssrrsslrrsl,17,11,6,4,5,1.5,2.2,0.3529412,0.6265781
rsllrlssrrslrrlrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.5031309
rsllrlssrrslrsrsl,17,11,6,5,6,1.2,1.833333,0.3529412,0.6607
rsllrlssrrlrrlsrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.5031309
rsllrlssrrlrrllrrsl,19,15,4,3,4,1.333333,3.75,0.2105263,0.4574137
rsllrlssrrlrsrlrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.5031309
rsllrlssrrlrssrsl,17,11,6,4,5,1.5,2.2,0.3529412,0.6265781
rsllrlssrsrrlssrl,17,11,6,4,5,1.5,2.2,0.3529412,0.6265781
rsllrlssrsrrlslrrsl,19,13,6,5,6,1.2,2.166667,0.3157895,0.6199019
rsllrlssrsrrllrrlrl,19,15,4,3,4,1.333333,3.75,0.2105263,0.4574137
rsllrlssrsrrllrsrsl,19,13,6,5,6,1.2,2.166667,0.3157895,0.6199019
rsllrlssrsrsrlsrl,17,11,6,5,6,1.2,1.833333,0.3529412,0.6607
rsllrlssrsrsrllrrsl,19,13,6,5,6,1.2,2.166667,0.3157895,0.6199019
rsllrlssrsrssrlrl,17,11,6,4,5,1.5,2.2,0.3529412,0.6265781
rsllrlssrsrsssrsl,17,9,8,5,6,1.6,1.5,0.4705882,0.7288425
rsllrlslrrsrsssrl,17,11,6,4,5,1.5,2.2,0.3529412,0.6265781
rsllrlslrrsrsslrrsl,19,13,6,5,6,1.2,2.166667,0.3157895,0.6199019
rsllrlslrrsrslrrlrl,19,15,4,4,5,1,3,0.2105263,0.5181664
rsllrlslrrsrslrsrsl,19,13,6,6,7,1,1.857143,0.3157895,0.6469885
rsllrlslrrsrlrrlsrl,19,15,4,4,5,1,3,0.2105263,0.5181664
rsllrlslrrsrlrrllrrsl,21,17,4,4,5,1,3.4,0.1904762,-1
rsllrlslrrsrlrsrlrl,19,15,4,4,5,1,3,0.2105263,0.5181664
rsllrlslrrsrlrssrsl,19,13,6,5,6,1.2,2.166667,0.3157895,0.6199019
rsllrlslrrssrrlssrl,19,13,6,4,5,1.5,2.6,0.3157895,0.5813356
rsllrlslrrssrrlslrrsl,21,15,6,5,6,1.2,2.5,0.2857143,-1
rsllrlslrrssrrllrrlrl,21,17,4,3,4,1.333333,4.25,0.1904762,-1
rsllrlslrrssrrllrsrsl,21,15,6,5,6,1.2,2.5,0.2857143,-1
rsllrlslrrssrsrlsrl,19,13,6,5,6,1.2,2.166667,0.3157895,0.6199019
